,0,1,accuracy,macro avg,weighted avg
precision,0.8397435897435898,0.8595505617977528,0.8502994011976048,0.8496470757706713,0.8502994011976048
recall,0.8397435897435898,0.8595505617977528,0.8502994011976048,0.8496470757706713,0.8502994011976048
f1-score,0.8397435897435898,0.8595505617977528,0.8502994011976048,0.8496470757706713,0.8502994011976048
support,156.0,178.0,0.8502994011976048,334.0,334.0
